pure_org_id	org_name
68608dba-04d0-4691-9b4e-432422c7292a	Network For Mind And Brain In Educational And Social Contexts
a686724b-8ad6-4ca6-a64c-a26921dbdf24	Department Of History Historical Studies
523319e0-3a96-4e38-865f-25197898b5e7	Fluids And Materials
b9c95436-d11d-40c6-9328-a2349951686a	Evidence Synthesis Group
03932840-dc34-49e4-af96-4e05539562fb	School Of Modern Languages
9128b5ab-357b-48aa-bd85-179b0ea05484	Public Law
1a1741dc-70b7-4350-8a78-38fd8fb1c204	Department Of Mechanical Engineering
fee3d4c4-805b-4f76-a161-c8c9056b9b06	Department Of English
add3fd85-8d8e-4fb1-a78c-10bdaad026d8	Bristol Interaction Group
f59c7831-84be-474b-a329-471fec394396	Materials For Energy
621e7875-1395-4139-8d77-4f339e3cae00	Diabetes And Metabolism
2841fef0-3184-499a-b236-a45f488a8f17	Molecular Neuroendocrinology Research Group
85c836f6-88dd-4d48-8000-14ba6a2b3419	Visual Information Laboratory
068b412d-013d-48cc-b500-edd00b822be7	Spais Gender Research Centre
0ace8364-b5b3-49bf-90fa-2bdf54984685	Bristol Neuroscience
257d2826-fc54-484d-870a-8ec08bafef3b	Quantum Information Theory
5bca280a-23c5-43d9-b261-b98fec3320e9	Elizabeth Blackwell
537be2f5-c7c2-4fd6-a9f5-6f4860fe9df4	Clinical Trials Evaluation Unit
ab0050bf-baf2-42d3-8be9-ea0879abd832	Quantum Engineering Centre For Doctoral Training Epsrc
e63e3832-644f-40c5-8d93-2cfafcb1dad4	Social Group
b76c029d-96b5-41b9-b4c7-7192430ac912	Department Of Film And Television
0833c1cf-7d1d-484c-be5b-d4aeccf88154	Bristol Childrens Vaccine Centre
ee338948-51de-4318-b83a-c4cd56417728	Early Modern Studies
ff3864ad-5d59-48c2-b022-b7d09c218a5e	Epsrc Centre For Doctoral Training In Future Autonomous And Robotic Systems Farscope
90ecd3b9-000e-4b32-ae8b-7fd63c595b3d	Department Of Civil Engineering
feceeae1-ceb5-40b6-aa31-eaa4045df624	Geochemistry
f68e1d22-2c3a-4302-8fb3-32c8d4756968	Spectroscopy And Dynamics
1aea1496-e270-4f20-b4af-a831e0aa8d54	Language Group
f2e88e9e-7dae-4cfc-a4dc-3b9a461c9e44	Nutrition And Behaviour
b0bed1d4-80d6-41a1-ad76-e3d7821b1f39	Human Rights Law
1c63e088-c661-45d7-bf19-e00a26d4c1fa	Heilbronn Institute For Mathematical Research
9d2b2143-1841-4bdd-bf0d-26e536027562	Centre For Multilevel Modelling
625a3d44-712e-4cd0-8674-10ee69a20f10	Bristol Glaciology Centre
87ab457b-67a8-41db-8251-1d2736fbf64e	School Of Mathematics
51a4f2a8-97cc-4993-8cbd-0284b10a3eb6	Centre For English Language And Foundation Studies
b0e8df32-97b9-4835-a341-45590e1f561f	Institute For Greece Rome And The Classical Tradition
f95947ee-40d3-459e-934a-7490ca5e9bb5	Academic Unit Of Obstetrics And Gynaecology
fecbacdd-5d34-422d-95d9-33f1e9ed70f8	Screen Research
89cf1925-2954-490f-b8fa-d792cbe9f7f8	Centre For Researching Education Across Boundaries
97cf9afb-0e52-4173-8fdc-907f29c873e1	Private Law
485d7303-d739-4d9f-92fb-71ec70b70d5c	Infection And Immunity Including Veterinary Public Health And Meat Quality
e40fb803-b997-47d3-ba66-c8b40e90716e	Jean Golding Institute
7d8ceaf6-d9fa-40f8-ae4a-4288b10899c2	Globalisation Education And Social Futures Network
e3249dec-1776-4145-86f8-1e5cdda33ccc	High Performance Networks Group Hpn
33888e3c-41c3-42f8-bd9e-9753fece7c0f	Ergodic Theory And Dynamical Systems
5c7ac8f6-246d-4455-b3ce-e468b61273c5	Biological And Archaeological Chemistry
cd1f1c75-595a-4fa0-bfcb-8bf7b3c7a8ec	Langford Clinical Veterinary Service
775ad2d4-42c0-4260-a666-39c282be4c74	Multiparameter Evidence Synthesis Research
4004b20b-9c92-4c7e-bfcb-e031e0105190	Department Of Italian
dc7c43e6-0d86-446d-ae5f-f647ec15b0a1	Health Economics At Bristol
